Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/05/2019 01:45:00 PM,11/05/2019 01:45:00 PM,Manhattan,Central Park,"Wollman Ice Rink (40.767429, -73.974442)",Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,311-01062386,ACC,1,false,false,,,false,false,80782
11/03/2019 01:20:00 PM,11/03/2019 01:30:00 PM,Brooklyn,Red Hook Park.,"Raccoon located on the corner of Bay street and Hicks street. (40°40'21.3""N 74°00'22.5""W)",Raccoon,Central,Native,Injured,4.5,Adult,Small Mammals-RVS,3-11-01043230,ACC,1,false,false,,,false,false,80634
11/03/2019 03:00:00 PM,11/03/2019 03:05:00 PM,Manhattan,Central Park,Conservatory Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Juvenile,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
11/01/2019 03:00:00 PM,11/01/2019 03:00:00 PM,Staten Island,Brookfield Park,Gutters around both mounds,Snake (Unknown),Observed by Ranger,Native,N/A,0.5,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,3,false,false,,,false,false,
11/01/2019 11:15:00 AM,11/01/2019 11:30:00 AM,Brooklyn,Saratoga Park,Northeast corner,Eastern Gray Squirrel,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,311-01023807,ACC,1,false,false,,,false,false,54237
10/31/2019 03:30:00 PM,10/31/2019 03:30:00 PM,Staten Island,Brookfield Park,In gutters,Snake (Unknown),Observed by Ranger,Native,Healthy,1,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,7,false,false,,,false,false,
10/31/2019 11:00:00 AM,10/31/2019 12:00:00 PM,Brooklyn,Marine Park,Found in Salt Marsh Nature Center driveway.,Yellow-bellied Slider,Observed by Ranger,Exotic,Healthy,1,Juvenile,Terrestrial Reptile or Amphibian,,ACC,1,false,false,,,false,false,80357
10/30/2019 11:00:00 AM,10/30/2019 11:10:00 AM,Queens,Little Bay Park,Parking Lot,Herring Gull,Public,Native,Injured,1,Juvenile,Birds,3-11-01006730,ACC,1,false,false,,,false,false,105178
10/30/2019 11:15:00 AM,10/30/2019 11:25:00 AM,Staten Island,Greenbelt Nature Center,Greenbelt Nature Center,Fancy Mouse,Employee,Domestic,Healthy,1.5,Adult,Small Mammals-non RVS,311-01006878,ACC,1,false,false,,,false,false,80221
10/26/2019 03:15:00 PM,10/26/2019 03:15:00 PM,Staten Island,Fairview Park,Off Veterans Road West about 15-20 feet in the woods,White-tailed Deer,Employee,Native,Injured,5.5,Adult,Deer,311-00976675,Relocated/Condition Corrected,1,false,false,,,false,true,
10/27/2019 05:45:00 PM,10/27/2019 06:00:00 PM,Staten Island,Blue Heron Park,Hylan Blvd and Pillion Ave,Cat,Employee,Domestic,Unhealthy,0.75,Juvenile,Domestic,,Monitored Animal,1,false,false,,,false,false,
10/27/2019 09:30:00 AM,10/27/2019 09:40:00 AM,Manhattan,Central Park,Compost Hil,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/25/2019 09:00:00 AM,10/25/2019 12:15:00 PM,Manhattan,Central Park,105th and Central Park West,Raccoon,Public,Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
10/25/2019 01:00:00 PM,10/25/2019 01:10:00 PM,Staten Island,Fairview Park,Entrance by West Shore Motor Lodge at Englewood Avenue and Veterans Road West.,White-tailed Deer,Employee,Native,Injured,1.5,Adult,Deer,,Monitored Animal,1,false,false,,,false,false,
10/24/2019 12:30:00 PM,10/25/2019 12:30:00 PM,Manhattan,Central Park,W 79th Street and Central Park West Drive,Double-crested Cormorant,Public,Native,N/A,1,Adult,Birds,311-00966362,Monitored Animal,1,false,true,,0.5,false,false,
10/25/2019 11:00:00 AM,10/25/2019 02:45:00 PM,Queens,Catharine Turner Richardson Park,Pine Street and Douglaston Parkway,Virginia Opossum,Public,Native,Injured,1,Infant,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
